,botscore,tweet_id,user_id
0,0.28,,1104710429752868864
1,0.15,,41061505
2,0.27,,863328384
3,0.12,,1042869241471483909
4,0.53,,947494741645684743
5,0.28,,1341343975
6,0.13,,22218401
7,0.0,,4016298674
8,0.11,,2767568900
9,0.22,,2943589670
10,0.04,,3921439516
11,0.14,,42925981
12,0.01,,314460521
13,0.11,,2149505958
14,0.26,,1619156682
15,0.22,,2314603099
16,0.02,,998071488
17,0.08,,2693372809
18,0.04,,273173137
19,0.04,,255789019
20,0.04,,701434271106355200
21,0.13,,309692527
22,0.02,,3306294256
23,0.13,,709758157
24,0.11,,458697444
25,0.05,,1042217440023928833
26,0.12,,979579879619485697
27,0.31,,1083932665907163136
28,0.07,,438692657
29,0.12,,2353766390
30,0.02,,1594583725
31,0.0,,90765785
32,0.24,,743310014811504642
33,0.12,,1159495845080948738
34,0.04,,250822564
35,0.31,,703815918816665600
36,0.17,,386513
37,0.02,,1861884498
38,0.34,,159382802
39,0.2,,1152817559604879360
40,0.27,,877795221538447360
41,0.33,,900018400822427648
42,0.16,,13682982
43,0.13,,1146653245361680384
44,0.18,,32578025
45,0.13,,1069430638133035008
46,0.05,,278743524
47,0.01,,2200701773
48,0.02,,285045381
49,0.01,,363778932
50,0.01,,221913689
51,0.02,,2412785772
52,0.19,,883299448880803840
53,0.1,,986804077303496704
54,0.18,,1191724685567897600
55,0.04,,402715004
56,0.08,,832422114590289920
57,0.21,,1059211908086161408
58,0.46,,1054606238103883776
59,0.06,,737737172
60,0.01,,2189294472
61,0.18,,469577632
62,0.19,,826290821116764160
63,0.03,,1651197888
64,0.23,,2955702027
65,0.02,,2864909218
66,0.01,,569567583
67,0.12,,257592672
68,0.07,,618919965
69,0.06,,175194776
70,0.07,,41226653
71,0.01,,146301382
72,0.35,,765322566009364480
73,0.16,,896268920549539840
74,0.04,,1250268085
75,0.02,,1522626451
76,0.1,,1631614333
77,0.13,,947254120305405953
78,0.02,,747875455349448704
79,0.29,,1177066867850002432
80,0.05,,14259014
81,0.13,,1123347460238135296
82,0.07,,864534959041634305
83,0.1,,2904147266
84,0.05,,870892851822903297
85,0.0,,824862578
86,0.07,,130880279
87,0.14,,534630009
0,0.24,,1144028994247020546
1,0.1,,700098143
2,0.21,,845035808956518400
3,0.19,,1893719730
4,0.21,,49520137
5,0.1,,15708951
6,0.12,,822203820528705536
7,0.04,,3146056095
8,0.16,,1083151286659211264
9,0.23,,960600816150233088
10,0.01,,159296668
11,0.18,,1202195921578147842
12,0.03,,903466261505609728
13,0.38,,1183968392442568704
14,0.11,,180919023
15,0.04,,896316269141532672
16,0.12,,329233335
17,0.09,,518139968
18,0.14,,1084988185485008897
19,0.12,,996626596114006017
20,0.06,,193518954
21,0.03,,1730220217
22,0.12,,1054189218165968896
23,0.11,,87995907
24,0.2,,830120524768477186
25,0.51,,1043615824970420225
26,0.24,,15399229
27,0.05,,313737420
28,0.03,,2865700990
29,0.4,,1197378902915715072
30,0.29,,978807682021736448
31,0.38,,1082440233822519296
32,0.14,,334779509
33,0.14,,766330796
34,0.2,,1006671833314152448
35,0.6,,3057459378
36,0.28,,1117595665129967617
37,0.06,,61854017
38,0.07,,3250109060
39,0.02,,1117314930
40,0.04,,555531985
41,0.43,,1152597387250208769
42,0.47,,1022686949835005952
43,0.7216666666666666,,1150884029878734850
44,0.04,,1256103438
45,0.02,,334273296
46,0.07,,1123659330073399296
47,0.07,,159306760
48,0.42,,875539388058394624
49,0.41,,864077811421593600
50,0.0,,716370470
51,0.01,,361337802
52,0.1,,740732126736195584
53,0.03,,2360686777
54,0.32,,34280949
55,0.03,,971332281532067840
56,0.23,,1079206178670882817
57,0.06,,893225365505794050
58,0.25,,1131247611065884675
59,0.15,,918304345413754880
60,0.04,,2886905551
61,0.08,,742637028039393282
62,0.12,,450506213
63,0.14,,835793178229948416
64,0.0,,20917825
65,0.08,,2864428174
66,0.44,,988376426444394496
67,0.06,,2905436748
68,0.11,,1049278272951832577
69,0.16,,895759862746857472
70,0.14,,1113398366447251456
71,0.2,,864414018198548484
72,0.22,,976456468550635520
73,0.06,,34844572
74,0.07,,202365305
75,0.08,,2269842499
76,0.19,,1325927640
77,0.21,,363235865
78,0.11,,740759961077223424
79,0.05,,285394879
80,0.36,,3449249895
81,0.11,,2866339326
82,0.18,,704769584533016577
83,0.01,,2611217280
84,0.03,,234015602
85,0.01,,3224110314
86,0.04,,2168594838
87,0.23,,1179072173048242176
